SR.,09 SEPT,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, RUTE,VEHICLE,T-POI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,TOTAL
89,09-03-0325,GJ06BX0325,12,0,0,0,0,0,0,6,12,12,12,8,10,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,156
90,09-04-0513,GJ04GA0513,69,0,0,0,0,0,1,1,3,1,21,10,23,13,16,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,103
91,09-05-0812,GJ04GA0812,54,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
92,09-06-0862,GJ04GA0862,57,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
93,09-07-0675,GJ04GA0675,67,0,1,0,0,1,1,1,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
94,09-08-0276,GJ04GB0276,64,1,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
95,09-09-0349,GJ04GB0349,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
96,09-10-1782,GJ06BX1782,58,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
97,10-01-0203,GJ04GB0203,60,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,12
98,10-02-0738,GJ04GA0738,60,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99,10-03-0032,GJ06BX0032,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,10-04-0055,GJ06BX0055,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,10-05-0546,GJ04GA0546,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,10-06-0768,GJ04GA0768,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,10-07-0873,GJ04GA0873,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
104,10-08-0664,GJ04GA0664,61,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
105,10-09-0629,GJ04GA0629,46,0,0,0,0,0,0,0,0,0,0,0,0,32,46,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,216
106,10-10-0787,GJ04GA0787,48,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
107,10-11-0102,GJ04GB0102,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
108,10-12-0315,GJ04GB0315,45,0,0,0,0,3,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14
